Date,Open,High,Low,Close,Volume,vwap
20210610,694.0,699.68,687.0401,697.0,7194261,695.3189
20210611,699.18,717.569,697.75,713.01,10407691,710.5673
20210614,716.24,721.58,706.5101,720.75,8034357,715.8241
20210615,716.6,720.65,709.118,711.54,6075761,714.71
20210616,711.63,718.1871,703.377,712.41,7678065,712.2368
20210617,710.9827,753.4,710.2501,746.29,20241372,742.4216
20210618,751.36,775.0,743.36,745.55,24221357,759.2959
20210621,737.41,741.46,712.906,737.09,16809554,726.7757
20210622,738.86,758.55,735.435,755.47,14503639,750.1868
20210623,760.31,766.11,756.31,762.29,8308926,762.2587
20210624,769.11,776.8,763.53,768.22,8023060,770.4344
20210625,771.22,773.82,755.775,761.24,6959148,761.8885
20210628,774.45,803.15,772.76,799.4,12385914,795.0069
20210629,795.3,803.95,786.275,801.07,9190846,795.3143
20210630,799.965,806.5,794.55,800.1,8164154,800.0621
20210701,805.0,818.24,800.76,808.48,12003374,809.196
20210702,817.605,820.21,811.51,819.48,8584917,816.1834
20210706,829.5,833.68,814.01,827.94,11167687,826.4627
20210707,834.14,835.0,813.282,814.87,10460682,819.898
20210708,794.26,805.32,788.03,796.11,12582492,796.4018
20210709,798.5,803.205,790.17,802.01,7415567,797.3025
20210712,809.6,821.31,807.51,820.5,8049619,815.2558
20210713,816.02,818.45,804.5601,810.0,7267658,812.3604
20210714,814.31,816.71,790.11,793.66,9502480,799.7174
20210715,792.47,793.88,754.3401,758.65,13764113,767.909
20210716,761.22,766.2844,722.92,726.44,17205566,739.5511
20210719,716.61,761.68,714.62,751.19,18726469,745.5979
20210720,187.3,188.38,181.64,186.12,43468654,185.0364
20210721,188.82,195.27,187.42,194.1,37101736,192.4914
20210722,196.42,198.87,192.76,195.94,32382595,195.2839
20210723,196.5635,197.0,192.5,195.58,19567198,194.6176
20210726,193.11,194.42,189.14,192.94,20394316,192.3744
20210727,192.65,196.22,187.41,192.08,24886258,190.9913
20210728,193.192,196.46,189.95,195.03,20219115,194.3867
20210729,195.19,198.53,193.2803,196.62,19078088,197.0035
20210730,194.18,196.3,192.63,194.99,18349746,194.5656
20210802,197.0,199.61,193.61,197.5,21744397,197.3831
20210803,197.4,202.22,192.2,198.15,30181074,197.4827
20210804,199.9,203.18,198.28,202.74,23130940,201.3277
20210805,205.0,207.33,203.42,206.37,21143537,205.7013
20210806,205.24,205.7,202.1,203.66,17849661,204.1774
20210809,204.46,205.0799,201.43,202.95,14644310,203.3649
20210810,203.22,204.3,198.3454,199.36,17923778,200.6161
20210811,200.43,200.49,194.3,196.99,18592484,196.9303
20210812,198.7,200.2899,196.2,199.05,15186155,198.7386
20210813,199.05,202.1381,198.51,201.88,18306286,200.7023
20210816,201.35,202.87,194.53,199.5,21115280,198.1002
20210817,196.85,197.7,192.67,194.58,20458485,194.7023
20210818,195.0,196.3365,190.0,190.4,28591348,193.1448
20210819,194.94,204.95,187.62,197.98,76655477,197.8653
20210820,199.91,208.6506,199.33,208.16,67574131,205.1787
20210823,209.71,219.97,209.5,219.58,57580658,216.8491
20210824,217.53,219.59,215.35,217.93,29729892,217.8336
20210825,217.37,224.7,217.22,222.13,34770104,222.7893
20210826,222.0,223.4,217.9,220.68,23794042,220.8407
20210827,221.84,227.22,221.67,226.36,30472219,225.0005
20210830,228.2997,230.43,225.51,226.88,26257990,227.5209
20210831,226.95,226.95,221.2,223.85,25984968,223.8245
20210901,224.85,226.97,223.565,224.41,20176695,225.105
20210902,225.18,225.9299,222.945,223.96,18810957,224.3431
20210903,223.25,229.86,222.0,228.43,28083198,227.6902
20210907,228.33,228.99,225.224,226.62,19810716,226.6907
20210908,225.13,226.1,219.77,223.39,25443421,222.5704
20210909,223.12,225.38,221.31,221.77,19685601,223.0825
20210910,223.4831,226.26,222.7,224.78,24837574,224.7374
20210913,226.84,229.64,218.58,221.52,29749990,221.1049
20210914,222.75,224.1,220.86,222.42,19975460,222.5993
20210915,223.09,223.6699,219.66,223.41,16653801,221.6821
20210916,221.8345,222.77,219.27,222.42,15603344,221.1032
20210917,223.0,223.21,218.3,219.0,29450284,220.2597
20210920,211.46,214.33,206.62,211.13,34944045,210.2718
20210921,214.165,214.25,209.5,212.46,20468810,212.4155
20210922,213.655,219.6,211.96,219.41,26872556,217.1001
20210923,221.4,225.345,218.9,224.82,24855491,223.3823
20210924,220.7,221.49,218.61,220.81,21765545,220.2027
20210927,217.1035,217.99,213.25,216.6,24521514,215.9019
20210928,212.135,214.19,206.51,206.99,34306895,208.5703
20210929,209.395,210.17,204.67,205.17,21839363,207.0408
20210930,207.684,210.66,206.88,207.16,22100912,208.4145
20211001,207.5,208.59,202.03,207.42,24097796,205.2657
20211004,205.04,205.4179,195.55,197.32,34563497,198.2016
20211005,199.5,206.48,198.54,204.51,27928165,203.7871
20211006,201.2,207.2,200.8,207.0,29720175,205.2271
20211007,210.92,213.22,209.72,210.75,25691893,211.5082
20211008,211.01,212.06,207.75,208.31,15125791,209.5428
20211011,205.75,210.63,205.11,206.95,16338754,208.5965
20211012,208.275,210.57,205.28,206.71,16213354,207.4776
20211013,209.18,209.9,207.13,209.39,18065188,208.7037
20211014,212.88,217.55,211.2201,217.46,24358881,215.3607
20211015,218.1,219.31,216.62,218.62,22699401,218.2236
20211018,217.49,222.91,216.44,222.22,18949356,221.1787
20211019,222.76,223.79,220.37,222.9,16147329,222.4285
20211020,223.045,224.33,219.82,221.03,14627594,221.883
20211021,220.97,227.11,220.83,226.92,18759032,225.0571
20211022,228.23,231.3,225.61,227.26,24938379,228.243
20211025,229.73,233.5499,227.7,231.66,23023483,230.8803
20211026,239.89,252.59,239.24,247.17,48589830,247.2032
20211027,244.74,250.9,242.8201,244.51,24598989,247.0335
20211028,248.78,249.5,245.23,249.41,23420431,247.6093
20211029,250.005,257.09,250.0,255.67,29250284,254.5433
20211101,256.49,258.94,252.27,258.27,26573976,256.7121
20211102,258.22,266.78,258.0,264.01,29411239,263.0081
20211103,266.7,267.84,262.35,265.98,23991033,264.7091
20211104,272.29,313.65,271.18,298.01,115363115,294.8869
20211105,301.87,314.0,294.1,297.52,85126015,304.5735
20211108,301.49,311.0,299.07,308.04,50310093,306.4514
20211109,322.82,323.1,299.64,306.57,64674621,310.7154
20211110,293.56,308.5,287.78,294.59,63620572,297.8376
20211111,304.68,305.9,297.7701,303.9,33217211,302.1882
20211112,300.1,306.8,296.3,303.9,41305428,302.3968
20211115,305.52,306.44,292.47,300.25,38490900,298.6675
20211116,297.59,303.9,297.0587,302.03,26448367,300.6269
20211117,304.18,305.09,288.0,292.61,42850799,296.5563
20211118,323.67,327.6,313.21,316.75,78171075,319.9792
20211119,322.43,330.88,319.05,329.85,53386665,326.9167
